seed,disturbance_shape,disturbance_strength,method,event_index,tau,arrival,delay,quality_interval,residual_observed,residual_scaled,confidence,correction_norm,future_lab_obs_abs_error,future_lab_true_abs_error_diagnostic,dense_true_mae_h20,dense_true_mae_h40,dense_true_mae_h50
45,random_walk,0.25,online_head_update,51,7800,7840,40,150,0.7163801193237305,0.8448547524373236,0.9364785552024841,0.0,0.0038051605224609375,0.2455005645751953,0.4457979202270508,0.41348857879638673,0.3943606376647949
45,random_walk,0.25,past_state_jacobian,51,7800,7840,40,150,0.7163801193237305,0.8448547524373236,0.9364785552024841,1.4437596797943115,0.2906203269958496,0.532315731048584,0.3439588785171509,0.37027732133865354,0.3798410034179687
45,random_walk,0.25,oracle_resync,51,7800,7840,40,150,0.7163801193237305,0.8448547524373236,0.9364785552024841,2.873713970184326,0.01957559585571289,0.26127099990844727,0.24191734790802003,0.24550927877426149,0.25580510139465334
45,random_walk,0.25,no_resync,52,7950,7990,40,150,0.5201044082641602,0.6133792231704969,1.0,0.0,0.8178138732910156,0.882896900177002,0.8985620737075806,0.8955623865127563,0.8965667915344239
45,random_walk,0.25,output_bias_persistent,52,7950,7990,40,150,0.5201044082641602,0.6133792231704969,1.0,0.6133792231704969,0.29770946502685547,0.3627924919128418,0.3784576654434204,0.37545797824859617,0.37646238327026366
45,random_walk,0.25,output_bias_decay,52,7950,7990,40,150,0.5201044082641602,0.6133792231704969,1.0,0.6133792231704969,0.5680049688815663,0.6330879957675526,0.4132615327835083,0.4405510663986206,0.4557395172119141
45,random_walk,0.25,current_reencode,52,7950,7990,40,150,0.5201044082641602,0.6133792231704969,1.0,0.37637102603912354,0.8144192695617676,0.8795022964477539,0.8953229427337647,0.8928832530975341,0.8938297367095948
45,random_walk,0.25,online_head_update,52,7950,7990,40,150,0.5201044082641602,0.6133792231704969,1.0,0.0,0.44574642181396484,0.5108294486999512,0.5342387676239013,0.5322224974632264,0.5334497547149658
45,random_walk,0.25,past_state_jacobian,52,7950,7990,40,150,0.5201044082641602,0.6133792231704969,1.0,1.0999202728271484,0.6943874359130859,0.7594704627990723,0.46295509338378904,0.4996799349784851,0.5167056083679199
45,random_walk,0.25,oracle_resync,52,7950,7990,40,150,0.5201044082641602,0.6133792231704969,1.0,2.8126697540283203,0.2505927085876465,0.3156757354736328,0.2921618938446045,0.29872654676437377,0.3001038455963135
45,random_walk,0.25,no_resync,53,8100,8140,40,150,0.8178138732910156,0.9644794974368325,0.9576913714408875,0.0,0.8109002113342285,0.836327075958252,0.9495753526687623,0.9261645674705505,0.9184053897857666
45,random_walk,0.25,output_bias_persistent,53,8100,8140,40,150,0.8178138732910156,0.9644794974368325,0.9576913714408875,0.9644794974368325,0.006913661956787109,0.018513202667236328,0.13176147937774657,0.11139992475509644,0.10461424827575684
45,random_walk,0.25,output_bias_decay,53,8100,8140,40,150,0.8178138732910156,0.9644794974368325,0.9576913714408875,0.9644794974368325,0.4180998726877725,0.4435267373117959,0.18648722171783447,0.21070328950881959,0.22524715423583985
45,random_walk,0.25,current_reencode,53,8100,8140,40,150,0.8178138732910156,0.9644794974368325,0.9576913714408875,0.2338399887084961,0.8080887794494629,0.8335156440734863,0.9399233341217041,0.918336832523346,0.9111268424987793
45,random_walk,0.25,online_head_update,53,8100,8140,40,150,0.8178138732910156,0.9644794974368325,0.9576913714408875,0.0,0.24652719497680664,0.2719540596008301,0.3630642890930176,0.34003558158874514,0.33226991653442384
45,random_walk,0.25,past_state_jacobian,53,8100,8140,40,150,0.8178138732910156,0.9644794974368325,0.9576913714408875,1.6519805192947388,0.528203010559082,0.5536298751831055,0.3272164583206177,0.3369249701499939,0.34650076866149904
45,random_walk,0.25,oracle_resync,53,8100,8140,40,150,0.8178138732910156,0.9644794974368325,0.9576913714408875,2.8490190505981445,0.3945469856262207,0.41997385025024414,0.30268690586090086,0.30598907470703124,0.3095244026184082
45,random_walk,0.25,no_resync,54,8250,8290,40,150,0.8109002113342285,0.9563259487782646,0.9621915221214294,0.0,0.9689264297485352,0.8522639274597168,0.9162401676177978,0.9254795193672181,0.922840929031372
45,random_walk,0.25,output_bias_persistent,54,8250,8290,40,150,0.8109002113342285,0.9563259487782646,0.9621915221214294,0.9563259487782646,0.15802621841430664,0.04136371612548828,0.11631236076354981,0.12006551027297974,0.1182336711883545
45,random_walk,0.25,output_bias_decay,54,8250,8290,40,150,0.8109002113342285,0.9563259487782646,0.9621915221214294,0.9563259487782646,0.5794467595898665,0.4627842573010481,0.16886568069458008,0.2206979513168335,0.23924761772155761
45,random_walk,0.25,current_reencode,54,8250,8290,40,150,0.8109002113342285,0.9563259487782646,0.9621915221214294,0.42322075366973877,0.9731788635253906,0.8565163612365723,0.9726646423339844,0.9720273375511169,0.9651021194458008
45,random_walk,0.25,online_head_update,54,8250,8290,40,150,0.8109002113342285,0.9563259487782646,0.9621915221214294,0.0,0.3933234214782715,0.2766609191894531,0.34457600116729736,0.35488736629486084,0.3518078899383545
45,random_walk,0.25,past_state_jacobian,54,8250,8290,40,150,0.8109002113342285,0.9563259487782646,0.9621915221214294,1.54763662815094,0.6425614356994629,0.5258989334106445,0.3049032211303711,0.3191221594810486,0.32733654975891113
45,random_walk,0.25,oracle_resync,54,8250,8290,40,150,0.8109002113342285,0.9563259487782646,0.9621915221214294,2.7313759326934814,0.385892391204834,0.2692298889160156,0.3452317714691162,0.3318635821342468,0.3292513275146484
45,random_walk,0.25,no_resync,55,8400,8440,40,150,0.9689264297485352,1.1426923735794712,1.0,0.0,0.9348874092102051,0.9951462745666504,1.0312821388244628,1.0275892853736877,1.0243334484100342
45,random_walk,0.25,output_bias_persistent,55,8400,8440,40,150,0.9689264297485352,1.1426923735794712,1.0,1.1426923735794712,0.03403902053833008,0.026219844818115234,0.09661030769348145,0.09059311151504516,0.08933629035949707
45,random_walk,0.25,output_bias_decay,55,8400,8440,40,150,0.9689264297485352,1.1426923735794712,1.0,1.1426923735794712,0.4695069086359709,0.5297657739924162,0.13434691429138185,0.1835045337677002,0.20595747947692872
45,random_walk,0.25,current_reencode,55,8400,8440,40,150,0.9689264297485352,1.1426923735794712,1.0,0.577431321144104,0.9254069328308105,0.9856657981872559,0.9940928220748901,0.995236623287201,0.9941007041931152
45,random_walk,0.25,online_head_update,55,8400,8440,40,150,0.9689264297485352,1.1426923735794712,1.0,0.0,0.26256656646728516,0.32282543182373047,0.35800695419311523,0.3516385078430176,0.34958371162414553
45,random_walk,0.25,past_state_jacobian,55,8400,8440,40,150,0.9689264297485352,1.1426923735794712,1.0,1.9584507942199707,0.3555145263671875,0.4157733917236328,0.3127692699432373,0.31220141649246214,0.3124850654602051
45,random_walk,0.25,oracle_resync,55,8400,8440,40,150,0.9689264297485352,1.1426923735794712,1.0,2.9082767963409424,0.19726848602294922,0.25752735137939453,0.32493414878845217,0.3243738293647766,0.3230375862121582
45,random_walk,0.25,no_resync,56,8550,8590,40,150,0.9348874092102051,1.1025488415433398,0.9438273310661316,0.0,1.2013630867004395,1.0782513618469238,1.0372129917144775,1.0377239108085632,1.0425027370452882
45,random_walk,0.25,output_bias_persistent,56,8550,8590,40,150,0.9348874092102051,1.1025488415433398,0.9438273310661316,1.1025488415433398,0.2664756774902344,0.14336395263671875,0.10640106201171876,0.10512422323226929,0.10944550514221191
45,random_walk,0.25,output_bias_decay,56,8550,8590,40,150,0.9348874092102051,1.1025488415433398,0.9438273310661316,1.1025488415433398,0.752331708134669,0.6292199832811534,0.1648855686187744,0.2198413372039795,0.2501159954071045
45,random_walk,0.25,current_reencode,56,8550,8590,40,150,0.9348874092102051,1.1025488415433398,0.9438273310661316,0.360955148935318,1.1863327026367188,1.0632209777832031,1.0257789373397828,1.0244611978530884,1.0286461639404296
45,random_walk,0.25,online_head_update,56,8550,8590,40,150,0.9348874092102051,1.1025488415433398,0.9438273310661316,0.0,0.545647144317627,0.42253541946411133,0.3856835126876831,0.38576931953430177,0.3902422046661377
45,random_walk,0.25,past_state_jacobian,56,8550,8590,40,150,0.9348874092102051,1.1025488415433398,0.9438273310661316,1.9053679704666138,0.8102951049804688,0.6871833801269531,0.3211662292480469,0.3309052586555481,0.3376339054107666
45,random_walk,0.25,oracle_resync,56,8550,8590,40,150,0.9348874092102051,1.1025488415433398,0.9438273310661316,2.967193841934204,0.3858151435852051,0.26270341873168945,0.2987265110015869,0.30459234714508054,0.30497193336486816
45,random_walk,0.25,no_resync,57,8700,8740,40,150,1.2013630867004395,1.4168139034340967,1.0,0.0,1.424243450164795,1.2231221199035645,1.1222934484481812,1.0935328483581543,1.0595633506774902
45,random_walk,0.25,output_bias_persistent,57,8700,8740,40,150,1.2013630867004395,1.4168139034340967,1.0,1.4168139034340967,0.22288036346435547,0.021759033203125,0.09941155910491943,0.11800119876861573,0.14993650436401368
45,random_walk,0.25,output_bias_decay,57,8700,8740,40,150,1.2013630867004395,1.4168139034340967,1.0,1.4168139034340967,0.8472223910889696,0.6461010608277391,0.04935877323150635,0.07217447757720948,0.06805699348449706
45,random_walk,0.25,current_reencode,57,8700,8740,40,150,1.2013630867004395,1.4168139034340967,1.0,0.5084623694419861,1.4068808555603027,1.2057595252990723,1.1356527090072632,1.0985463857650757,1.0631775093078613
45,random_walk,0.25,online_head_update,57,8700,8740,40,150,1.2013630867004395,1.4168139034340967,1.0,0.0,0.6341261863708496,0.43300485610961914,0.33477368354797366,0.3022602081298828,0.2669308376312256
45,random_walk,0.25,past_state_jacobian,57,8700,8740,40,150,1.2013630867004395,1.4168139034340967,1.0,2.473572254180908,0.5643515586853027,0.36323022842407227,0.29443480968475344,0.2928747057914734,0.2964643573760986
45,random_walk,0.25,oracle_resync,57,8700,8740,40,150,1.2013630867004395,1.4168139034340967,1.0,3.0033440589904785,0.5231122970581055,0.321990966796875,0.29135546684265134,0.29447628259658815,0.3000351524353027
45,random_walk,0.25,no_resync,58,8850,8890,40,150,1.424243450164795,1.6796653271664823,0.9336448311805725,0.0,,,1.065145492553711,1.081935429573059,1.085632209777832
45,random_walk,0.25,output_bias_persistent,58,8850,8890,40,150,1.424243450164795,1.6796653271664823,0.9336448311805725,1.6796653271664823,,,0.359097957611084,0.3423080205917358,0.3386112403869629
45,random_walk,0.25,output_bias_decay,58,8850,8890,40,150,1.424243450164795,1.6796653271664823,0.9336448311805725,1.6796653271664823,,,0.26379177570343015,0.17543967962265014,0.1560971450805664
45,random_walk,0.25,current_reencode,58,8850,8890,40,150,1.424243450164795,1.6796653271664823,0.9336448311805725,0.4326264560222626,,,1.0807249069213867,1.0945787191390992,1.096808500289917
45,random_walk,0.25,online_head_update,58,8850,8890,40,150,1.424243450164795,1.6796653271664823,0.9336448311805725,0.0,,,0.18117339611053468,0.201866614818573,0.20244983673095704
45,random_walk,0.25,past_state_jacobian,58,8850,8890,40,150,1.424243450164795,1.6796653271664823,0.9336448311805725,2.5,,,0.34640135765075686,0.3478030443191528,0.3483649730682373
45,random_walk,0.25,oracle_resync,58,8850,8890,40,150,1.424243450164795,1.6796653271664823,0.9336448311805725,2.9111592769622803,,,0.3699558019638062,0.37452503442764284,0.37458707809448244
46,none,0.0,no_resync,47,7200,7240,40,150,0.8171143531799316,0.9743877587211656,0.9803183078765869,0.0,0.7522592544555664,0.7855052947998047,0.8480395793914794,0.8434797286987304,0.840142526626587
46,none,0.0,output_bias_persistent,47,7200,7240,40,150,0.8171143531799316,0.9743877587211656,0.9803183078765869,0.9743877587211656,0.06485509872436523,0.03160905838012695,0.03448586463928223,0.029682135581970213,0.027433710098266603
46,none,0.0,output_bias_decay,47,7200,7240,40,150,0.8171143531799316,0.9743877587211656,0.9803183078765869,0.9743877587211656,0.3597948990266824,0.39304093937092066,0.08560416698455811,0.12863043546676636,0.1475772190093994
46,none,0.0,current_reencode,47,7200,7240,40,150,0.8171143531799316,0.9743877587211656,0.9803183078765869,1.3724621534347534,0.7497310638427734,0.7829771041870117,0.840321159362793,0.8389745354652405,0.8369990348815918
46,none,0.0,online_head_update,47,7200,7240,40,150,0.8171143531799316,0.9743877587211656,0.9803183078765869,0.0,0.3480243682861328,0.3812704086303711,0.4185693025588989,0.4102259039878845,0.4039539909362793
46,none,0.0,past_state_jacobian,47,7200,7240,40,150,0.8171143531799316,0.9743877587211656,0.9803183078765869,2.5,0.7205138206481934,0.7537598609924316,0.823851752281189,0.8134458899497986,0.8068601703643798
