seed,quality_train_seed,drift_mode,disturbance_target,disturbance_regime,z_dim,label_count_requested,n_train_labels,n_val_labels,n_test_labels,model,parameter_count,test_true_mae,test_obs_mae,dyn_val_mse,persistence_val_mse,dyn_best_epoch,drift_std_active,q_effect_mae_test
44,100044,ar,output,persistent,8,200,199,66,67,latent,11041,0.14870361983776093,0.6873305439949036,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
44,100044,ar,output,persistent,8,200,199,66,67,fusion,11617,0.15479984879493713,0.6878065466880798,0.19763786766009453,0.21940138382025254,16,0.12618552148342133,0.10841145366430283
45,100045,ar,output,persistent,8,50,50,66,67,train_mean,0,0.28622981905937195,0.7025043964385986,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,50,50,66,67,direct,10465,0.2781200110912323,0.7019271850585938,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,50,50,66,67,latent,11041,0.2207474261522293,0.695632815361023,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,50,50,66,67,fusion,11617,0.29293423891067505,0.7063053250312805,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,100,100,66,67,train_mean,0,0.2834654748439789,0.7014745473861694,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,100,100,66,67,direct,10465,0.25930604338645935,0.6966227293014526,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,100,100,66,67,latent,11041,0.24472877383232117,0.7146347761154175,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,100,100,66,67,fusion,11617,0.23642036318778992,0.6909487247467041,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,200,199,66,67,train_mean,0,0.23247003555297852,0.6870637536048889,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,200,199,66,67,direct,10465,0.19543445110321045,0.6697992086410522,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,200,199,66,67,latent,11041,0.18828707933425903,0.6750392913818359,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
45,100045,ar,output,persistent,8,200,199,66,67,fusion,11617,0.19271612167358398,0.6721092462539673,0.18879857229498717,0.21876565061318567,19,0.12436743825674057,0.08280066400766373
46,100046,ar,output,persistent,8,50,50,66,67,train_mean,0,0.1945951133966446,0.5850042104721069,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,50,50,66,67,direct,10465,0.19732563197612762,0.5764038562774658,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,50,50,66,67,latent,11041,0.17647165060043335,0.6001166701316833,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,50,50,66,67,fusion,11617,0.16236171126365662,0.5750028491020203,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,100,100,66,67,train_mean,0,0.23570376634597778,0.598972737789154,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,100,100,66,67,direct,10465,0.18003104627132416,0.5736923217773438,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,100,100,66,67,latent,11041,0.16654318571090698,0.5680841207504272,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,100,100,66,67,fusion,11617,0.1828273981809616,0.5680148005485535,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,200,199,66,67,train_mean,0,0.22498971223831177,0.5958573222160339,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,200,199,66,67,direct,10465,0.17650866508483887,0.5852372050285339,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,200,199,66,67,latent,11041,0.16470450162887573,0.5938597917556763,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
46,100046,ar,output,persistent,8,200,199,66,67,fusion,11617,0.1703074425458908,0.5780530571937561,0.17304123976291755,0.19969104287716058,18,0.10970523208379745,0.08453585207462311
